rank,title,artist
20,I WANT,IVE (아이브)
21,Cool With You,NewJeans
22,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
23,Baggy Jeans,NCT U
24,Get A Guitar,RIIZE
25,미친 사랑의 노래,김연지
26,별 떨어진다 (I Do),디오 (D.O.)
27,Somebody,디오 (D.O.)
28,ISTJ,NCT DREAM
29,ASAP,NewJeans
30,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
31,폼미쳤다,영탁
32,Better Things,aespa
,Cupid,FIFTY FIFTY
,민들레 (single ver.),우효
,Butter,방탄소년단
,첫 키스에 내 심장은 120BPM,경서
,Candy,NCT DREAM
,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
,다시 만날 수 있을까,임영웅
,ASAP,NewJeans
,That's Hilarious,Charlie Puth
,Slow Dancing,V
,봄날,방탄소년단
,Better Things,aespa
,이제 나만 믿어요,임영웅
,TOMBOY,(여자)아이들
,ISTJ,NCT DREAM
,취중고백,김민석 (멜로망스)
,물론,허각
,Dynamite,방탄소년단
,미친 사랑의 노래,김연지
,STAY,The Kid LAROI
,ANTIFRAGILE,LE SSERAFIM (르세라핌)
,Baggy Jeans,NCT U
,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
,다정히 내 이름을 부르면,경서예지
,해요 (2022),#안녕
27,I Don't Think That I Like Her,Charlie Puth
28,Dangerously,Charlie Puth
29,사랑은 늘 도망가,임영웅
30,심(心),DK(디셈버)
31,Teddy Bear,STAYC(스테이씨)
32,사랑하지 않아서 그랬어,임한별
33,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
34,모래 알갱이,임영웅
35,나에게 그대만이,탑현
36,너의 모든 순간,성시경
37,사랑인가 봐,멜로망스
38,Cupid,FIFTY FIFTY
33,Blue,V
34,For Us,V
35,Yogurt Shake,NCT DREAM
36,In Bloom,ZEROBASEONE (제로베이스원)
37,여섯 번째 여름,PLAVE
38,달빛에 그려지는,미연 ((여자)아이들)
39,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
40,트월ㅋ (Prod. Czaer),미연 ((여자)아이들)
41,값,영탁
42,I Just Love Ya,PLAVE
43,Dear. PLLI,PLAVE
44,우길걸우겨,영탁
1,Love Lee,AKMU (악뮤)
,Rainy Days,V
,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
,무지개,임영웅
,빛이 나는 너에게,던 (DAWN)
,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
,사람 Pt.2 (feat. 아이유),Agust D
,Take Two,방탄소년단
,Monologue,테이
,달빛에 그려지는,미연 ((여자)아이들)
